year,zone,subprefecture_name_original,subprefecture_name,district_name_original,district_name,population
2017,West,Lapa,LAPA,Jaguara,Jaguara,25013
2017,West,Lapa,LAPA,Jaguaré,Jaguare,53403
2017,West,Pinheiros,PINHEIROS,Jardim Paulista,Jardim_Paulista,85481
2017,West,Lapa,LAPA,Lapa,Lapa,72290
2017,West,Butantã,BUTANTA,Morumbi,Morumbi,45814
2017,West,Lapa,LAPA,Perdizes,Perdizes,107385
2017,West,Pinheiros,PINHEIROS,Pinheiros,Pinheiros,65823
2017,West,Butantã,BUTANTA,Raposo Tavares,Raposo_Tavares,111216
2017,West,Butantã,BUTANTA,Rio Pequeno,Rio_Pequeno,127520
2017,West,Lapa,LAPA,Vila Leopoldina,Vila_Leopoldina,44310
2017,West,Butantã,BUTANTA,Vila Sônia,Vila_Sonia,118348
2017,South_1,Ipiranga,IPIRANGA,Cursino,Cursino,107004
2017,South_1,Ipiranga,IPIRANGA,Ipiranga,Ipiranga,113496
2017,South_1,Jabaquara,JABAQUARA,Jabaquara,Jabaquara,221024
2017,South_1,Vila Mariana,VILA_MARIANA,Moema,Moema,83392
2017,South_1,Ipiranga,IPIRANGA,Sacomã,Sacoma,257794
2017,South_1,Vila Mariana,VILA_MARIANA,Saúde,Saude,130893
2017,South_1,Vila Mariana,VILA_MARIANA,Vila Mariana,Vila_Mariana,130028
2017,South_2,Santo Amaro,SANTO_AMARO,Campo Belo,Campo_Belo,69868
2017,South_2,Santo Amaro,SANTO_AMARO,Campo Grande,Campo_Grande,110796
2017,South_2,Campo Limpo,CAMPO_LIMPO,Campo Limpo,Campo_Limpo,226903
2017,South_2,Campo Limpo,CAMPO_LIMPO,Capão Redondo,Capao_Redondo,272043
2017,South_2,Cidade Ademar,CIDADE_ADEMAR,Cidade Ademar,Cidade_Ademar,259059
2017,South_2,Capela do Socorro,CAPELA_DO_SOCORRO,Cidade Dutra,Cidade_Dutra,190154
2017,South_2,Capela do Socorro,CAPELA_DO_SOCORRO,Grajaú,Grajau,376456
2017,South_2,M'Boi Mirim,M_BOI_MIRIM,Jardim Ângela,Jardim_Angela,306134
2017,South_2,M'Boi Mirim,M_BOI_MIRIM,Jardim São Luís,Jardim_Sao_Luis,264695
2017,South_2,Parelheiros,PARELHEIROS,Marsilac,Marsilac,10176
2017,South_2,Parelheiros,PARELHEIROS,Parelheiros,Parelheiros,144662
2017,South_2,Cidade Ademar,CIDADE_ADEMAR,Pedreira,Pedreira,156306
2017,South_2,Santo Amaro,SANTO_AMARO,Santo Amaro,Santo_Amaro,80503
2017,South_2,Capela do Socorro,CAPELA_DO_SOCORRO,Socorro,Socorro,38535
2017,South_2,Campo Limpo,CAMPO_LIMPO,Vila Andrade,Vila_Andrade,151073
2018,Downtown,Sé,SE,Bela Vista,Bela_Vista,63629
2018,Downtown,Sé,SE,Bom Retiro,Bom_Retiro,33799
2018,Downtown,Sé,SE,Cambuci,Cambuci,42669
2018,Downtown,Sé,SE,Consolação,Consolacao,55411
2018,Downtown,Sé,SE,Liberdade,Liberdade,67872
2018,Downtown,Sé,SE,República,Republica,59964
2018,Downtown,Sé,SE,Santa Cecília,Santa_Cecilia,82492
2018,Downtown,Sé,SE,Sé,Se,24127
2018,East_1,Mooca,MOOCA,Água Rasa,Agua_Rasa,87001
2018,East_1,Aricanduva/Formosa/Carrão,ARICANDUVA_FORMOSA_CARRAO,Aricanduva,Aricanduva,90870
2018,East_1,Penha,PENHA,Artur Alvim,Artur_Alvim,100242
2018,East_1,Mooca,MOOCA,Belém,Belem,52323
2018,East_1,Mooca,MOOCA,Brás,Bras,35537
2018,East_1,Penha,PENHA,Cangaíba,Cangaiba,140906
2018,East_1,Aricanduva/Formosa/Carrão,ARICANDUVA_FORMOSA_CARRAO,Carrão,Carrao,85446
2018,East_1,Mooca,MOOCA,Moóca,Mooca,80436
2018,East_1,Mooca,MOOCA,Pari,Pari,17387
2018,East_1,Penha,PENHA,Penha,Penha,132554
2018,East_1,Vila Prudente,VILA_PRUDENTE,São Lucas,Sao_Lucas,141479
2018,East_1,Sapopemba,SAPOPEMBA,Sapopemba,Sapopemba,275758
2018,East_1,Mooca,MOOCA,Tatuapé,Tatuape,97642
2018,East_1,Aricanduva/Formosa/Carrão,ARICANDUVA_FORMOSA_CARRAO,Vila Formosa,Vila_Formosa,94451
2018,East_1,Penha,PENHA,Vila Matilde,Vila_Matilde,105667
2018,East_1,Vila Prudente,VILA_PRUDENTE,Vila Prudente,Vila_Prudente,106519
2018,East_2,Itaquera,ITAQUERA,Cidade Líder,Cidade_Lider,134364
2018,East_2,Cidade Tiradentes,CIDADE_TIRADENTES,Cidade Tiradentes,Cidade_Tiradentes,201399
2018,East_2,Ermelino Matarazzo,ERMELINO_MATARAZZO,Ermelino Matarazzo,Ermelino_Matarazzo,113735
2018,East_2,Guaianases,GUAIANASES,Guaianases,Guaianases,108373
2018,East_2,São Mateus,SAO_MATEUS,Iguatemi,Iguatemi,142351
2018,East_2,Itaim Paulista,ITAIM_PAULISTA,Itaim Paulista,Itaim_Paulista,213374
2018,East_2,Itaquera,ITAQUERA,Itaquera,Itaquera,210970
2018,East_2,São Miguel,SAO_MIGUEL,Jardim Helena,Jardim_Helena,132183
2018,East_2,Itaquera,ITAQUERA,José Bonifácio,Jose_Bonifacio,127695
2018,East_2,Guaianases,GUAIANASES,Lajeado,Lajeado,165857
2018,East_2,Itaquera,ITAQUERA,Parque do Carmo,Parque_do_Carmo,73219
2018,East_2,Ermelino Matarazzo,ERMELINO_MATARAZZO,Ponte Rasa,Ponte_Rasa,92581
